机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2619	湖南省郴州市嘉禾县教育基金会	2013	2836657.4	2836657.4	1568837.4	1267820	0	0	0	0	0	0	0	0	0	0	0	0		2893609.16	2713106.4	55440	39552.3							
2620	湖南省郴州市苏仙区教育基金会	2013	2027822.6	2027822.6	1752822.6	275000	0	0	0	0	0	0	0	0	0	0	0	0		2008718.04	1874785	70160	63773.04							
2621	湖南省长沙市光彩事业基金会	2013	5021966	5021966	5021966	0	0	0	0	0	0	0	0	0	0	0	0	0		3115575.1	3108800	0	6775.1							
2622	湖南省长沙市芙蓉区人民教育基金会	2013	342601.8	342601.8	342601.8	0	0	0	0	0	0	0	0	0	0	0	0	0		177038	175400	0	1638							
2623	湖南省长沙洗心禅寺慈善基金会	2013	4858531.86	4858531.86	4858531.86	0	0	0	0	0	0	0	0	0	0	0	0	0		4489826.45	4489826.45	0	0							
2624	湖南省青少年发展基金会	2013	43524285.82	42526729.96	10010449.03	32516280.93	997555.86	0	997555.86	0	0	0	0	0	0	0	0	0		58358730.89	56499403.9	1197154.97	598456.12							
2625	湖南省龙山县教育基金会	2013	1140421	1140421	518069.5	622351.5	0	0	0	0	0	0	0	0	0	0	0	0		1142825.95	1053140.75	32800	17751.2							
2626	湖南省龙阳助学基金会	2013	1034000	1034000	1034000	0	0	0	0	0	0	0	0	0	0	0	0	0		601616.9	542000	31600	28016.9							
2627	湖南科技大学教育基金会	2013	70000	70000	70000	0	0	0	0	0	0	0	0	0	0	0	0	0		212504	212144	0	360							
2628	湖南育才关心青少年基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		227273.56	212000	12000	3273.56							
2629	湖南胡杨助学励学公益基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1148000	1148000	0	0							
2630	湖南青年创业就业基金会	2013	13090000	13090000	650000	12440000	0	0	0	0	0	0	0	0	0	0	0	0		12906360.05	12057055	233949.08	615355.97							
2631	湖南飞翔公益基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1503086	1500000	0	3086							
2632	湖州市见义勇为基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		679317.2	613952	64422.2	943							
2634	湘潭县教育发展基金会	2013	10193831	10193831	1784484	8409347	0	0	0	0	0	0	0	0	0	0	0	0		9863478.18	9739291	55800	68387.18							
2635	湘潭市教育发展基金会	2013	7066825.5	7066825.5	7066825.5	0	0	0	0	0	0	0	0	0	0	0	0	0		7289739.67	7043876.8	15000	230862.87							
2636	湛江市见义勇为基金会	2013	22000	22000	22000	0	0	0	0	0	0	0	0	0	0	0	0	0		474018.71	163041.9	0	310976.81							
2638	滁州市见义勇为基金会	2013	652000	652000	0	652000	0	0	0	0	0	0	0	0	0	0	0	0		194867.6	128050	23344	31213.6							
2640	滨州市见义勇为基金会	2013	1354523	1354523	0	1354523	0	0	0	0	0	0	0	0	0	0	0	0		631886.33	615731	6000	7512							
2642	滨海县见义勇为基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2643	滨海沿海工业园慈善基金会	2013	50000	50000	0	50000	0	0	0	0	0	0	0	0	0	0	0	0		584000	584000	0	0							
2644	漳州市李瑞河茶文化教育基金会	2013	170000	170000	0	170000	0	0	0	0	0	0	0	0	0	0	0	0		175964.31	170000	0	5964.31							
