	ao_ad	ao_adex	ao_adn	ao_ate	ao_cc	ao_dd	ao_ddc	ao_ddi	ao_ddin	ao_ddn	ao_ddnn	ao_lst	ao_nni	ao_nnin	ao_od	ao_odi	ao_odin	ao_odn	ao_odnn	ao_odt	ao_oth	ao_slr	ba_cn	fp_yr	ricf_oid
1183	3060000.0	15587.5	0.0		0.0	3060000.0	10000.0	3050000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海安慈公益基金会	2015	4671
1184	6506412.29	430402.11	0.0		12761222.24	6506412.29	0.0	0.0	0.0	0.0	0.0	13876354.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	969653.5	上海市体育发展基金会	2015	57
1185	1179500.0	106496.8	0.0		26174.0	0.0	19500.0	116000.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236094.12	59000.0	上海市罕见病防治基金会	2015	4022
1186	800000.0	14558.62	0.0		110000.0	800000.0	0.0	800000.0	0.0	0.0	0.0	1248009.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1376.24	0.0	上海东方爱心基金会	2015	15
1187	0.0	3715.0	0.0		211236.0	0.0	2250000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18600.0	上海宏信公益基金会	2015	4509
1188	55039677.8	2116877.05	0.0		39719889.86	50653026.56	19403648.62	31249377.94	0.0	0.0	0.0	60515914.93	0.0	0.0	4386651.24	4386651.24	0.0	0.0	0.0	0.0	0.0	1896863.68	上海宋庆龄基金会	2015	50
1189	2000000.0	87.0	0.0		0.0	2000000.0	2000000.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0	0.0	上海心手相牵社区公益基金会	2015	4235
1190	0.0	24790.0	0.0		0.0	0.0	0.0	42000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海国际舞蹈中心发展基金会	2015	4600
1191	2000000.0	0.0	0.0		0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海甘泉社区基金会	2015	4847
1192	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海申彤梦公益基金会	2015	4139
1193	5068568.97	8505.5	0.0		727614.0	5068568.97	5068568.97	0.0	0.0	0.0	0.0	755402.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28994.0	0.0	上海市静安区教育基金会	2015	97
1194	57079583.0	488687.66	0.0		51534430.16	57079583.0	1268860.0	55810723.0	0.0	0.0	0.0	59392794.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5483.0	638478.5	上海市帮困互助基金会	2015	81
1195	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海慈爱公益基金会	2015	4774
1196	312431.0	8472.59	0.0		400000.0	312431.0	56081.0	256350.0	0.0	0.0	0.0	3457698.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15600.0	上海中华职业教育温暖工程基金会	2015	16
1197	150000.0	0.0	0.0		0.0	150000.0	0.0	150000.0	0.0	0.0	0.0	1980436.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海谢晋电影艺术基金会	2015	3939
1198	2240000.0	9597.2	0.0		297539.6	2240000.0	0.0	2240000.0	0.0	0.0	0.0	2803751.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16795.0	0.0	上海市创新细胞生物学发展基金会	2015	3834
1199	20000000.0	0.0	0.0		1559600.0	20000000.0	0.0	20000000.0	0.0	0.0	0.0	20658991.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3000.0	0.0	上海嘉宝公益基金会	2015	39
