Unnamed: 0,ricf_oid,ba_cn,fp_yr,name,cf_doc,cf_soc,cf_srvc,cf_proc,cf_govc,cf_otca,cf_atci,cf_dopc,cf_stpc,cf_psc,cf_otpc,cf_atco,cf_anc,cf_inc,cf_inrc,cf_assc,cf_oc,cf_itci,cf_aspc,cf_invs,cf_oinc,cf_tinc,cf_intc,cf_leca,cf_tfc,cf_tfic,cf_bopc,cf_inpc,cf_ofc,cf_tfoc,cf_nfl,cf_exch,cf_ninc
950,5271.0,河北省华星公益基金会,2016,河北省华星公益基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,800.00","20,800.00","-20,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,000,000.00","2,000,000.00","-2,000,000.00","21,200.00","2,002,253.35","2,023,453.35",0.00,0.00,634.00,634.00,"2,022,819.35",0.00,"2,019.35"
951,3203.0,陕西省社会福利事业发展基金会,2016,陕西省社会福利事业发展基金会,"1,475,355.00",0.00,0.00,0.00,0.00,"1,562,500.00","3,037,855.00","839,661.83","128,600.00",0.00,"27,540.03","995,801.86","2,042,053.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,042,053.14"
952,2075.0,河北省青少年发展基金会,2016,河北省青少年发展基金会,"18,106,095.83",0.00,0.00,0.00,0.00,"1,119,232.01","19,225,327.84","38,098,797.76","296,918.32",0.00,"30,524.09","38,426,240.17","-19,200,912.33","312,538,125.28","585,002.82",0.00,0.00,"313,123,128.10",0.00,0.00,"298,909,275.21","298,909,275.21","14,213,852.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-4,987,056.44"
953,1810.0,杭州市残疾人福利基金会,2016,杭州市残疾人福利基金会,"2,363,690.72",0.00,0.00,0.00,0.00,"4,225,673.48","6,589,364.20","1,877,261.44","115,460.00",0.00,"121,072.18","2,113,793.62","4,475,570.58",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,475,570.58"
954,3398.0,重庆市彭水王应田教育基金会,2016,重庆市彭水王应田教育基金会,0.00,0.00,0.00,0.00,0.00,"3,578,923.04","3,578,923.04","300,000.00","24,500.00",0.00,"1,112,687.00","1,437,187.00","2,141,736.04",0.00,0.00,0.00,0.00,0.00,0.00,"650,000.00",0.00,"650,000.00","-650,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,491,736.04"
955,2850.0,绍兴市见义勇为基金会,2016,绍兴市见义勇为基金会,"1,230,500.00",0.00,0.00,0.00,"428,000.00","65,083.90","1,723,583.90","876,281.00","69,426.84",0.00,"1,338,600.00","2,284,307.84","-560,723.94",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-560,723.94"
956,2048.0,河北省公安民警英烈基金会,2016,河北省公安民警英烈基金会,"2,263,052.00",0.00,0.00,0.00,0.00,"64,658.05","2,327,710.05","1,775,000.00","160,583.94","4,000.00","14,452.71","1,954,036.65","373,673.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"373,673.40"
957,2249.0,浙江盛威普世慈善基金会,2016,浙江盛威普世慈善基金会,"3,850,940.64",0.00,0.00,0.00,"2,442.50","7,862,366.55","11,715,749.69","3,623,433.70","100,135.77","6,680.00","8,239,651.72","11,969,901.19","-254,151.50",0.00,"551,433.53",0.00,0.00,"551,433.53",0.00,0.00,0.00,0.00,"551,433.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"297,282.03"
958,1796.0,本溪市公安民警救助基金会,2016,本溪市公安民警救助基金会,"3,201,665.10",0.00,0.00,0.00,0.00,"873,913.63","4,075,578.73","4,782,270.00",0.00,0.00,"1,193,308.60","5,975,578.60","-1,899,999.87",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,899,999.87"
959,5551.0,河北省倍慈慈善基金会,2016,河北省倍慈慈善基金会,0.00,0.00,0.00,0.00,0.00,550.00,550.00,0.00,0.00,0.00,0.00,0.00,550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,000,000.00","2,000,000.00",0.00,0.00,0.00,0.00,"2,000,000.00",0.00,"2,000,550.00"
