机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
69	上海市奉贤建设工程科学技术发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	800000.00 	0	0		0	0	165000.00 	1203557.19 	2168557.19 	2061571	77051.50 	0.00 	0.00 	2138622.50 	0.00 		29934.69 
70	上海市安济医疗救助基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	5987448.19 	0	0		0	0	0.00 	42668.91 	6030117.10 	2693391.39	271900.46 	0.00 	1542.30 	2966834.15 	0.00 		3063282.95 
71	上海市宝山区教育发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	500000.00 	0	0		0	0	0.00 	180000.00 	680000.00 	864313.36	81870.20 	-228.94 	0.00 	945954.62 	0.00 		-265954.62 
72	上海市应昌期围棋教育基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	100000.00 	0	10426001.6		0	90000	0.00 	286674.24 	10902675.84 	9589031.7	995398.45 	0.00 	3838.94 	10588269.09 	0.00 		314406.75 
73	上海市建国社会公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	48549.32 	0	0		0	0	5317366.61 	2706884.39 	8072800.32 	5187721	1946697.31 	0.00 	532301.27 	7666719.58 	0.00 		406080.74 
74	上海市徐汇区教育基金会	2013	5831790.80 	0	0		0	0	0	0	5831790.80 	3444255.10 	0	0	0	3444255.10 	0.00 		2387535.7	20000.00 	0	0		0	0	0.00 	455741.56 	475741.56 	1003421.8	22072.70 	0.00 	0.00 	1025494.50 	0.00 		-549752.94 
75	上海市慈善基金会	2013	643449537.29 	0	0		0	12920000	7398788.77	0	663768326.06 	478499644.39 	24302	7255671.2	0	485779617.59 	13465022.79 		164523685.7	100221846.63 	0	0		0	12485680	42497361.27 	24426274.64 	179631162.54 	104605004	20393111.56 	9229752.54 	71755.23 	134299623.28 	-13465022.79 		58796562.05 
76	上海市拥军优属基金会	2013	3260000.00 	0	0		0	15812680	0	0	19072680.00 	13473795.29 	0	0	0	13473795.29 	2412000.00 		3186884.71	79323996.32 	0	0		0	29646671.52	11335084.83 	1561182.30 	121866934.97 	15418848.99	1137825.14 	16992.50 	4004785.50 	20578452.13 	-2412000.00 		103700482.84 
77	上海市教育发展基金会	2013	17425387.63 	0	0		0	0	0	0	17425387.63 	9419283.60 	0	0	0	9419283.60 	0.00 		8006104.03	791656.00 	0	7244748.16		0	0	16659740.18 	86678.23 	24782822.57 	19723489.61	0.00 	0.00 	0.00 	19723489.61 	0.00 		2112796.49 
78	上海市普陀区教育奖励基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	2000000.00 	0	0		0	0	0.00 	23698.86 	2023698.86 	454370	46201.00 	0.00 	0.00 	500571.00 	0.00 		1523127.86 
79	上海市杨浦区教育奖励基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	300000	0.00 	108128.69 	408128.69 	301137.81	30000.00 	0.00 	0.00 	331137.81 	0.00 		76990.88 
80	上海市残疾人福利基金会	2013	5404037.00 	0	0		0	0	0	0	5404037.00 	0.00 	0	0	0	0.00 	2278999.26 		3125037.74	8271453.56 	0	0		0	0	0.00 	241163.67 	8512617.23 	11006714.09	757490.70 	0.00 	0.00 	11764204.79 	-2278999.26 		-972588.30 
