ricf_oid_2013	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn.1	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use	ricf_oid	ba_uscc
707	北京美新路公益基金会	2013	437231.08	71754.0	6864.0	64890.0	365477.08	0.0	365477.08	0.0	0	0	0	0	0	0	0	0		439893.55	427561.32	0.0	11947.23								707.0	531100005960629300
708	北京老舍文艺基金会	2013	214400.0	214400.0	0.0	214400.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		359975.59	332537.5	11106.96	16331.13								708.0	53110000500303294K
709	北京联想控股公益基金会	2013	13594424.5	13594424.5	545416.5	13049008.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		8231534.66	8220345.66	0.0	10910.0								709.0	5311000006278391XQ
711	北京自然之友公益基金会	2013	2000000.0	2000000.0	900000.0	1100000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								711.0	53110000082888954A
712	北京航空航天大学教育基金会	2013	162820385.55	138679432.86	53473046.7	85206386.16	24140952.69	22834337.76	1306614.93	0.0	0	0	0	0	0	0	0	0		42088004.65	40263065.02	385740.0	393526.44								712.0	53100000500019779L
713	北京艺美公益基金会	2013	1000000.0	1000000.0	0.0	1000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		371860.9	343474.0	0.0	28334.9								713.0	53110000597723518G
714	北京艺能爱心基金会	2013	1697951.02	1697951.02	1520751.02	177200.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1099652.68	1007336.0	46000.0	36316.68								714.0	53110000597673952W
715	北京节能与电力技术开发基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		285276.54	272292.54	0.0	12984.0								715.0	531100005003031397
716	北京苹果慈善基金会	2013	7211247.55	7211247.55	1049697.55	6161550.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		8797209.48	7962838.42	617690.14	214724.42								716.0	531100007747043003
717	北京茅以升科技教育基金会	2013	1981450.0	1981450.0	392450.0	1589000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3139368.61	2896274.86	88683.6	144323.91								717.0	53110000791606585K
718	北京荷风艺术基金会	2013	2441709.7	2432280.2	100100.0	2332180.2	9429.5	9429.5	0.0	0.0	0	0	0	0	0	0	0	0		1082066.5	668812.4	321846.55	91407.55								718.0	53110000067292319B
719	北京蔚蓝公益基金会	2013	3500.0	3500.0	3500.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		14266375.93	14227140.86	0.0	39040.6								719.0	531100005603805154
720	北京观复文化基金会	2013	776950.0	776950.0	0.0	776950.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		614303.0	600000.0	0.0	13732.0								720.0	5311000069230504X9
721	北京詹天佑土木工程科学技术发展基金会	2013	5572000.0	5572000.0	0.0	5572000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2737656.11	2731985.03	0.0	5595.5								721.0	531100007855022028
722	北京语言大学教育基金会	2013	2663050.3	2659050.3	59050.3	2600000.0	4000.0	4000.0	0.0	0.0	0	0	0	0	0	0	0	0		301964.21	301764.21	0.0	200.0								722.0	5311000006963655XX
723	北京财贸学院校友促进教育基金会	2013	4800.0	4800.0	4800.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1624699.99	424810.0	28280.0	61140.5								723.0	531100005003067780
724	北京远洋之帆公益基金会	2013	15354626.52	15354626.52	0.0	15354626.52	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		8867380.33	6574181.37	0.0	68896.0								724.0	53110000680453846U
725	北京邮电大学教育基金会	2013	3089770.0	3089770.0	266650.0	2823120.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3572394.48	3338161.55	113861.5	120371.43								725.0	53110000500313118R
726	北京郑杭生社会发展基金会	2013	710000.0	710000.0	110000.0	600000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		437390.4	430215.8	0.0	7174.6								726.0	53110000579000113B
727	北京郭应禄泌尿外科发展基金会	2013	21083.05	21083.05	21083.05	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		287919.5	280015.5	0.0	7694.0								727.0	53110000560352610H
